,Year,Mileage,Engine,Power,Seats,Price,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_LPG,Fuel_Type_Petrol
264,2018,66,1248.0,74,5.0,10876,0,1,0,0
265,2013,28,2179.0,120,8.0,10648,0,1,0,0
266,2017,53,1248.0,74,5.0,5704,0,1,0,0
267,2017,44,999.0,123.24,5.0,12930,0,0,0,1
268,2012,55,1248.0,74,5.0,6617,0,1,0,0
269,2016,53,796.0,47.3,5.0,4959,0,0,0,1
270,2011,39,1497.0,118,5.0,6404,0,0,0,1
271,2018,28,2967.0,241.4,7.0,107033,0,1,0,0
272,2009,39,1896.0,105,5.0,4487,0,1,0,0
273,2012,40,1591.0,121.3,5.0,6510,0,0,0,1
274,2009,39,1497.0,118,5.0,5430,0,0,0,1
275,2013,51,1396.0,88.8,5.0,4730,0,1,0,0
276,2014,35,1396.0,98.6,5.0,9066,0,0,0,1
277,2011,48,1598.0,103.6,5.0,7149,0,1,0,0
278,2014,40,1497.0,117.3,5.0,10496,0,0,0,1
279,2018,53,1248.0,74,5.0,7986,0,1,0,0
280,2015,43,1995.0,177,5.0,42594,0,1,0,0
281,2009,44,1061.0,67,5.0,2053,0,0,0,1
282,2015,42,1199.0,88.7,5.0,7377,0,0,0,1
283,2012,35,1896.0,105,5.0,10192,0,1,0,0
284,2010,47,1197.0,78.9,5.0,4715,0,0,0,1
285,2015,45,2143.0,170,5.0,28355,0,1,0,0
286,2012,47,1197.0,78.9,5.0,4259,0,0,0,1
287,2016,32,2393.0,147.8,7.0,30804,0,1,0,0
288,2015,41,1968.0,174.33,5.0,40738,0,1,0,0
289,2010,30,2494.0,100.6,7.0,12565,0,1,0,0
290,2015,38,1198.0,73.9,5.0,5917,0,0,0,1
291,2011,49,998.0,67.1,5.0,3194,0,0,0,1
292,2017,42,1497.0,117.3,5.0,19304,0,0,0,1
293,2013,39,1405.0,70,5.0,3924,0,1,0,0
294,2014,41,1968.0,174.33,5.0,31595,0,1,0,0
295,2015,42,2143.0,136,5.0,30819,0,1,0,0
296,2014,54,998.0,67.04,5.0,6465,0,0,0,1
297,2017,42,2143.0,201.15,5.0,86709,0,1,0,0
298,2017,29,2179.0,187.7,5.0,66933,0,1,0,0
299,2011,48,1598.0,103.6,5.0,5552,0,1,0,0
300,2012,32,796.0,35,5.0,3118,0,0,0,1
301,2012,43,1198.0,86.8,5.0,4761,0,0,0,1
302,2000,33,2956.0,83.1,7.0,2281,0,1,0,0
303,2012,42,1248.0,75,5.0,4335,0,1,0,0
304,2012,44,998.0,67.1,5.0,4031,0,0,0,1
305,2015,37,2179.0,140,7.0,16124,0,1,0,0
306,2008,40,1396.0,70,5.0,1901,0,1,0,0
307,2018,37,1373.0,93.7,7.0,12550,0,0,0,1
308,2011,27,2354.0,177.6,5.0,6769,0,0,0,1
309,2012,45,1248.0,73.9,5.0,5628,0,1,0,0
310,2009,41,1399.0,68,5.0,4259,0,1,0,0
311,2008,41,1497.0,78,5.0,2738,0,0,0,1
312,2014,41,1968.0,174.33,5.0,33390,0,1,0,0
313,2011,22,2993.0,313,4.0,74539,0,1,0,0
314,2017,34,2967.0,245,7.0,95334,0,1,0,0
315,2008,61,998.0,67.1,5.0,2129,1,0,0,0
316,2012,54,1396.0,90,5.0,8366,0,1,0,0
317,2009,39,1197.0,78.9,5.0,4487,0,0,0,1
318,2016,44,1199.0,88.7,5.0,10435,0,0,0,1
319,2015,59,1248.0,74,5.0,9355,0,1,0,0
320,2011,43,1197.0,82.85,5.0,5020,0,0,0,1
321,2011,38,1198.0,73.9,5.0,3879,0,0,0,1
322,2009,46,796.0,46.3,5.0,2281,0,0,0,1
323,2004,26,1794.0,125,5.0,3803,0,0,0,1
324,2006,46,796.0,46.3,5.0,2129,0,0,0,1
325,2012,49,1248.0,88.8,5.0,5172,0,1,0,0
326,2012,46,796.0,46.3,5.0,3422,0,0,0,1
327,2013,45,1968.0,141,5.0,11409,0,1,0,0
328,2008,26,1794.0,125,5.0,4259,0,0,0,1
329,2016,43,1197.0,81.83,5.0,11652,0,0,0,1
330,2016,57,1248.0,88.5,5.0,10876,0,1,0,0
331,2010,39,1497.0,118,5.0,5324,0,0,0,1
332,2014,42,1248.0,75,5.0,5324,0,1,0,0
333,2013,60,1498.0,98.6,5.0,5248,0,1,0,0
334,2016,49,814.0,55.2,5.0,5400,0,0,0,1
335,2015,51,1995.0,190,5.0,39536,0,1,0,0
336,2012,52,1582.0,126.32,5.0,7986,0,1,0,0
337,2013,49,1248.0,88.8,5.0,4411,0,1,0,0
338,2005,33,1984.0,227,5.0,3118,0,0,0,1
339,2017,56,998.0,67.1,5.0,5704,0,0,0,1
340,2014,53,1498.0,89.84,5.0,10268,0,1,0,0
341,2011,42,995.0,62,5.0,1445,0,0,0,1
342,2017,45,1999.0,177,5.0,79103,0,1,0,0
343,2007,30,1997.0,141.1,5.0,5947,0,0,0,1
344,2019,34,1798.0,177.46,5.0,41529,0,0,0,1
345,2009,47,1197.0,78.9,5.0,4107,0,0,0,1
346,2013,53,1248.0,74,5.0,5324,0,1,0,0
347,2016,43,1197.0,83.14,5.0,9431,0,0,0,1
348,2011,54,1461.0,63.1,5.0,4183,0,1,0,0
349,2015,55,1248.0,74,5.0,4943,0,1,0,0
350,2012,41,1399.0,67,5.0,4943,0,1,0,0
351,2003,40,993.0,60,5.0,988,0,0,0,1
352,2017,32,1998.0,192,5.0,53242,0,0,0,1
353,2014,55,1364.0,67.05,5.0,4943,0,1,0,0
354,2018,58,796.0,47.3,5.0,4411,0,0,0,1
355,2011,44,796.0,47,5.0,4411,0,0,0,1
356,2009,25,2993.0,235,5.0,27001,0,1,0,0
357,2015,26,2496.0,179.5,5.0,12550,0,0,0,1
358,2015,44,1197.0,82,5.0,8777,0,0,0,1
359,2017,57,1248.0,88.5,5.0,14436,0,1,0,0
360,2008,28,2967.0,241.4,7.0,19699,0,1,0,0
361,2015,42,2143.0,136,5.0,30424,0,1,0,0
362,2007,37,796.0,37,4.0,1521,0,0,0,1
363,2015,48,1461.0,83.8,5.0,10800,0,1,0,0
364,2017,50,1364.0,87.2,5.0,25100,0,1,0,0
365,2014,37,2148.0,170,5.0,39551,0,1,0,0
366,2010,49,1248.0,73.9,5.0,4867,0,1,0,0
367,2017,37,1497.0,117.3,7.0,14421,0,0,0,1
368,2015,57,1120.0,71,5.0,6084,0,1,0,0
369,2014,33,2143.0,203,5.0,40312,0,1,0,0
370,2014,34,1595.0,120.7,5.0,17904,0,0,0,1
371,2017,35,2143.0,204,5.0,56285,0,1,0,0
372,2016,41,1497.0,117.3,5.0,13310,0,0,0,1
373,2011,39,1497.0,118,5.0,5704,0,0,0,1
374,2010,38,1599.0,103.2,5.0,3803,0,0,0,1
375,2017,31,1999.0,246.74,5.0,52482,0,0,0,1
376,2015,42,1198.0,86.7,5.0,7073,0,0,0,1
377,2015,44,1598.0,122,4.0,48679,0,0,0,1
378,2017,31,2987.0,282,5.0,95547,0,1,0,0
379,2014,49,814.0,55.2,5.0,4943,0,0,0,1
380,2014,48,998.0,67.04,5.0,4715,0,0,0,1
381,2011,49,1248.0,73.9,5.0,5947,0,1,0,0
382,2011,37,1995.0,181,5.0,16733,0,1,0,0
383,2014,31,2179.0,138.03,5.0,5324,0,1,0,0
384,2014,47,1968.0,143,5.0,25100,0,1,0,0
385,2012,29,2179.0,187.7,5.0,45636,0,1,0,0
386,2010,28,2987.0,224,7.0,42594,0,1,0,0
387,2018,31,2477.0,175.56,7.0,42594,0,1,0,0
388,2010,46,796.0,46.3,5.0,1399,0,0,0,1
389,2013,32,1061.0,64,5.0,4183,0,0,0,1
390,2017,29,2179.0,187.7,5.0,81887,0,1,0,0
391,2011,40,1591.0,121.3,5.0,7530,0,0,0,1
392,2013,39,2993.0,218,5.0,50960,0,1,0,0
393,2013,34,2993.0,270.9,5.0,42518,0,1,0,0
394,2010,32,1798.0,157.75,5.0,11028,0,0,0,1
395,2017,36,1968.0,174.33,5.0,39110,0,1,0,0
396,2014,29,2179.0,187.7,5.0,45134,0,1,0,0
397,2013,34,2143.0,170,5.0,28903,0,1,0,0
398,2017,36,2179.0,120,7.0,19851,0,1,0,0
399,2015,51,1995.0,190,5.0,38791,0,1,0,0
400,2017,36,1497.0,117.3,7.0,12930,0,0,0,1
401,2010,37,2400.0,215,5.0,11028,0,1,0,0
402,2005,31,1495.0,94,5.0,1216,0,0,0,1
403,2017,40,1197.0,81.86,5.0,10496,0,0,0,1
404,2018,27,2996.0,367,5.0,107991,0,0,0,1
405,2015,49,814.0,55.2,5.0,3422,0,0,0,1
406,2018,44,1197.0,81.86,5.0,8366,0,0,0,1
407,2013,30,1493.0,100,5.0,6617,0,0,0,1
408,2010,38,1198.0,73.9,5.0,3422,0,0,0,1
409,2016,35,1798.0,187.74,5.0,37269,0,0,0,1
410,2017,35,1591.0,121.3,5.0,18300,0,0,0,1
411,2011,27,1796.0,186,5.0,12930,0,0,0,1
412,2014,39,1998.0,189.08,4.0,43354,0,0,0,1
413,2013,55,1364.0,67.04,5.0,8747,0,1,0,0
414,2014,45,1198.0,86.8,5.0,4867,0,0,0,1
415,2018,50,1197.0,83.1,5.0,15044,0,0,0,1
416,2012,47,1968.0,138.1,5.0,10009,0,1,0,0
417,2018,49,814.0,55.2,5.0,6176,0,0,0,1
418,2019,47,1461.0,108.45,5.0,20338,0,1,0,0
419,2011,38,2993.0,258,5.0,39277,0,1,0,0
420,2016,53,796.0,47.3,5.0,5689,0,0,0,1
421,2015,39,1984.0,150,5.0,33466,0,1,0,0
422,2007,44,998.0,67.1,5.0,2205,0,0,0,1
423,2008,41,1497.0,78,5.0,3042,0,0,0,1
424,2017,35,1196.0,73,5.0,7149,1,0,0,0
425,2014,32,1399.0,98.79,8.0,5704,0,0,0,1
426,2016,37,2523.0,62.1,7.0,11713,0,1,0,0
427,2014,49,814.0,55.2,5.0,3955,0,0,0,1
428,2017,30,1591.0,121.3,5.0,20947,0,0,0,1
429,2017,37,1598.0,103.5,5.0,10800,0,0,0,1
430,2008,30,1799.0,130,5.0,4031,0,0,0,1
431,2014,52,1248.0,74,5.0,3803,0,1,0,0
432,2013,37,2179.0,140,7.0,11454,0,1,0,0
433,2017,43,1197.0,81.83,5.0,12139,0,0,0,1
434,2014,33,1968.0,174.3,5.0,59327,0,1,0,0
435,2011,43,1197.0,85.80,5.0,3422,0,0,0,1
436,2010,30,1999.0,114,5.0,5856,0,0,0,1
437,2015,30,2494.0,102,7.0,20536,0,1,0,0
438,2016,64,793.0,47,5.0,5324,0,1,0,0
439,2018,59,1248.0,88.5,5.0,13569,0,1,0,0
440,2016,35,1968.0,181,5.0,30987,0,1,0,0
441,2016,51,1995.0,190,5.0,55524,0,1,0,0
442,2016,26,4134.0,335.2,7.0,74402,0,1,0,0
443,2016,43,1197.0,81.83,5.0,10952,0,0,0,1
444,2012,44,1461.0,108.45,5.0,9112,0,1,0,0
445,2016,57,1120.0,71,5.0,7986,0,1,0,0
446,2014,53,1498.0,89.84,5.0,9887,0,1,0,0
447,2013,38,1198.0,73.9,5.0,6693,0,0,0,1
448,2017,56,1120.0,70,5.0,6997,0,1,0,0
449,2013,49,1248.0,88.8,5.0,4487,0,1,0,0
450,2011,39,1497.0,118,5.0,4959,0,0,0,1
451,2008,42,1086.0,62.1,5.0,3377,0,0,0,1
452,2012,30,2494.0,100,7.0,15972,0,1,0,0
453,2017,66,1248.0,88.5,5.0,12565,0,1,0,0
454,2013,29,2982.0,169,7.0,21981,0,1,0,0
455,2018,29,1950.0,191.34,5.0,78236,0,0,0,1
456,2014,37,2148.0,170,5.0,34988,0,1,0,0
457,2012,41,1968.0,108.49,5.0,8366,0,1,0,0
458,2015,44,1197.0,82,5.0,6845,0,0,0,1
