,Year,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
44,2014,Petrol,Automatic,First,34,1999.0,149.92,5.0,13462
45,2016,Petrol,Automatic,First,33,1798.0,138.03,5.0,15379
46,2008,Diesel,Manual,Second,35,1991.0,112.2,5.0,6465
47,2012,Petrol,Manual,First,26,2694.0,163.7,7.0,16657
48,2014,Diesel,Manual,First,57,1120.0,71,5.0,5856
49,2012,Diesel,Manual,Second,38,2498.0,105,6.0,8366
50,2015,Diesel,Automatic,First,40,1968.0,174.33,5.0,32599
51,2014,Diesel,Manual,First,53,1248.0,74,5.0,6465
52,2014,Diesel,Manual,First,41,1248.0,75,5.0,5020
53,2013,Diesel,Manual,First,66,1248.0,74,5.0,5856
54,2015,Petrol,Manual,Third,44,1197.0,82,5.0,5476
55,2015,Petrol,Manual,First,35,1598.0,103.2,5.0,6069
56,2017,Petrol,Manual,First,59,799.0,53.3,5.0,5020
57,2010,Petrol,Manual,First,47,1197.0,78.9,5.0,3148
58,2010,Diesel,Automatic,First,31,1995.0,147.6,5.0,11789
59,2010,Petrol,Manual,First,42,998.0,67.1,5.0,3422
60,2017,Diesel,Manual,First,32,2393.0,147.8,8.0,25100
61,2010,Diesel,Manual,First,47,1399.0,68,5.0,4183
62,2015,Petrol,Automatic,First,27,1796.0,186,5.0,40616
63,2011,Diesel,Manual,Second,37,2148.0,170,5.0,15212
64,2016,Diesel,Manual,First,58,1396.0,69,5.0,3803
65,2012,Diesel,Automatic,First,38,1968.0,140,5.0,20536
66,2007,Petrol,Automatic,Second,38,1497.0,78,5.0,2814
67,2019,Diesel,Automatic,First,0,1950.0,194,5.0,54261
68,2016,Diesel,Manual,First,57,1248.0,88.5,7.0,12397
69,2018,Diesel,Manual,First,51,1396.0,88.7,5.0,15972
70,2008,Petrol,Automatic,First,19,4806.0,500,5.0,22057
71,2015,Diesel,Manual,First,35,2179.0,140,7.0,14679
72,2012,Petrol,Automatic,First,39,1197.0,78.9,5.0,5293
73,2015,Diesel,Manual,First,46,1461.0,108.5,5.0,10526
74,2016,Petrol,Automatic,Second,38,1198.0,86.8,5.0,9827
75,2014,Diesel,Automatic,Second,43,1968.0,187.74,5.0,44875
76,2006,Petrol,Manual,Third,29,1998.0,132,8.0,6845
77,2012,Diesel,Manual,First,30,2494.0,102,7.0,17874
78,2012,Diesel,Manual,First,53,1248.0,74,5.0,5704
79,2017,Petrol,Manual,First,41,1193.0,88.7,5.0,6845
80,2016,Petrol,Manual,First,42,1198.0,86.7,5.0,7332
81,2012,Diesel,Manual,First,47,1399.0,68,5.0,4259
82,2013,Diesel,Manual,First,54,1248.0,73.94,5.0,4730
83,2009,Petrol,Manual,First,41,1497.0,117.3,5.0,4943
84,2011,Diesel,Automatic,Second,39,1995.0,218,5.0,21144
85,2009,Petrol,Manual,First,47,1197.0,78.9,5.0,3422
86,2016,Petrol,Manual,First,44,1197.0,82,5.0,8747
87,2016,Petrol,Manual,First,41,1198.0,86.7,5.0,7606
88,2014,Diesel,Manual,First,30,2982.0,168.5,7.0,25100
89,2018,Diesel,Automatic,First,41,1968.0,174.33,5.0,60209
90,2013,Diesel,Manual,First,53,1498.0,89.84,5.0,8366
91,2014,Diesel,Manual,First,35,2179.0,140,7.0,12321
92,2015,Diesel,Manual,First,60,1498.0,98.6,5.0,5324
93,2013,Diesel,Manual,First,51,1199.0,73.9,5.0,4244
94,2010,Diesel,Manual,First,38,1493.0,110,5.0,5248
95,2016,Petrol,Manual,First,44,998.0,67.1,5.0,6769
96,2010,Petrol,Manual,First,35,1598.0,103.5,5.0,4031
97,2011,Diesel,Manual,Second,54,1396.0,90,5.0,5780
98,2014,Petrol,Manual,First,43,1197.0,82.85,5.0,7073
99,2017,Petrol,Manual,First,46,1198.0,67,7.0,6008
100,2010,Diesel,Automatic,First,35,2967.0,241.4,5.0,14907
101,2009,Petrol,Manual,Second,39,1197.0,80,5.0,4107
102,2010,Petrol,Manual,First,32,796.0,35,5.0,3666
103,2014,Petrol,Manual,First,41,1197.0,78.9,5.0,5932
104,2011,Diesel,Automatic,Second,34,2993.0,270.9,5.0,36509
105,2012,Diesel,Manual,Second,37,2179.0,140,7.0,8747
106,2014,Diesel,Automatic,First,52,1582.0,126.32,5.0,7986
107,2017,Diesel,Automatic,First,26,2755.0,171.5,7.0,29283
108,2017,Petrol,Manual,First,35,1196.0,73,5.0,5947
109,2014,Petrol,Manual,First,59,624.0,37.5,4.0,3270
110,2015,Diesel,Automatic,First,53,1995.0,190,5.0,31565
111,2010,Petrol,Manual,First,31,1799.0,130,5.0,5096
112,2014,Diesel,Manual,First,30,2494.0,100.6,7.0,16900
113,2014,Diesel,Automatic,First,54,1984.0,150,5.0,30424
114,2016,Petrol,Automatic,First,45,1198.0,75.94,5.0,9963
115,2009,Petrol,Automatic,First,25,2497.0,215,5.0,10648
116,2016,Diesel,Manual,First,57,1248.0,88.5,5.0,11409
117,2014,Diesel,Automatic,Second,35,2143.0,107.3,5.0,25480
118,2018,Diesel,Manual,First,51,1582.0,126.2,5.0,16657
119,2011,Petrol,Manual,First,44,998.0,67.1,5.0,3726
120,2017,Petrol,Automatic,First,51,624.0,37.48,4.0,4913
121,2014,Diesel,Manual,First,28,2179.0,120,8.0,11789
122,2009,Petrol,Automatic,First,27,1796.0,178,5.0,14223
123,2013,CNG,Manual,First,62,998.0,58.16,5.0,4943
124,2007,Petrol,Manual,Second,25,2354.0,152,5.0,7986
125,2015,Diesel,Automatic,First,49,1498.0,103.2,5.0,11028
126,2017,Petrol,Manual,First,48,1373.0,91.1,5.0,11363
127,2016,Diesel,Automatic,First,37,2179.0,140,7.0,20156
128,2016,Petrol,Manual,First,49,1197.0,85.80,5.0,8838
129,2014,Petrol,Manual,First,56,998.0,67.1,5.0,3955
130,2017,Petrol,Automatic,First,44,2996.0,362.07,2.0,82145
131,2019,Petrol,Automatic,First,39,1591.0,121.3,5.0,17494
132,2010,Petrol,Manual,Second,46,796.0,46.3,5.0,2433
133,2015,Diesel,Automatic,First,48,1995.0,143,5.0,26195
134,2015,Petrol,Automatic,First,44,1199.0,88.7,5.0,9127
135,2012,Petrol,Manual,First,31,1799.0,130,5.0,6008
136,2014,Diesel,Automatic,First,45,2143.0,170,5.0,27305
137,2014,Diesel,Manual,First,60,1498.0,98.6,5.0,5628
138,2016,Petrol,Manual,First,51,1197.0,81.80,5.0,8260
139,2012,Diesel,Manual,First,27,2982.0,171,7.0,20521
140,2014,Petrol,Manual,First,43,1199.0,76.8,5.0,4335
141,2013,Diesel,Manual,First,49,1498.0,103.52,5.0,7225
142,2018,Petrol,Manual,First,48,1373.0,91.1,5.0,15060
143,2013,Petrol,Automatic,First,25,2894.0,444,4.0,56285
144,2014,Diesel,Automatic,First,51,1995.0,190,5.0,40312
145,2015,Diesel,Automatic,First,40,1968.0,174.33,5.0,35474
146,2016,Diesel,Manual,First,53,1248.0,74,5.0,9507
147,2010,Petrol,Automatic,First,18,5461.0,362.9,5.0,45636
148,2016,Diesel,Automatic,First,50,1498.0,103.52,5.0,14999
149,2012,Diesel,Automatic,First,40,1968.0,138.1,5.0,12930
150,2019,Petrol,Manual,First,49,814.0,55.2,5.0,6434
151,2012,Diesel,Manual,First,51,1199.0,73.9,5.0,5324
152,2016,Petrol,Manual,First,48,1198.0,67.06,5.0,3803
153,2013,Petrol,Manual,First,45,1198.0,86.8,5.0,3635
154,2013,Petrol,Automatic,First,34,1595.0,120.7,5.0,17113
155,2015,Diesel,Manual,First,61,1498.0,98.6,5.0,10815
156,2016,Diesel,Manual,First,30,2494.0,100.6,7.0,16581
157,2017,Petrol,Manual,First,47,1197.0,81.80,5.0,9431
158,2012,Diesel,Manual,First,35,2179.0,140,7.0,12017
159,2014,Diesel,Manual,First,53,1498.0,89.84,5.0,6723
160,2012,Diesel,Manual,First,30,2982.0,168.5,7.0,20536
161,2013,Diesel,Automatic,First,50,1498.0,108.5,5.0,9507
162,2010,Diesel,Manual,Second,47,1399.0,68,5.0,3194
163,2015,Diesel,Automatic,First,35,2993.0,258,5.0,68454
164,2017,Diesel,Automatic,First,45,2143.0,167.62,5.0,51204
165,2012,Petrol,Manual,Second,45,1198.0,86.8,5.0,5552
166,2013,Petrol,Manual,First,47,1197.0,78.9,5.0,4183
167,2016,Diesel,Automatic,First,42,2143.0,170,5.0,64651
168,2019,Petrol,Manual,First,44,1197.0,81.86,5.0,9887
169,2012,Diesel,Automatic,Second,41,1968.0,174.33,5.0,28903
170,2013,Petrol,Automatic,Second,33,1598.0,103.6,5.0,6769
171,2017,Diesel,Automatic,Second,39,1998.0,112,5.0,34988
172,2014,Diesel,Manual,First,53,1396.0,88.73,5.0,12702
173,2014,Diesel,Automatic,First,41,1968.0,174.33,5.0,34911
174,2012,Diesel,Manual,First,59,936.0,57.6,5.0,2281
175,2012,Petrol,Automatic,First,32,1798.0,157.75,5.0,10481
176,2006,Diesel,Manual,Second,41,1399.0,68,5.0,2205
177,2014,Diesel,Automatic,First,52,1995.0,190,5.0,50960
178,2007,Petrol,Manual,First,30,1598.0,102.5,5.0,1901
179,2012,Diesel,Manual,First,51,1199.0,73.9,5.0,6389
180,2015,Diesel,Manual,First,46,1461.0,108.5,8.0,10268
181,2014,Diesel,Automatic,First,30,2143.0,201.1,5.0,48679
182,2017,Petrol,Manual,First,50,1197.0,83.1,5.0,11409
183,2012,Diesel,Manual,First,52,1582.0,126.32,5.0,6997
184,2017,Petrol,Manual,First,46,1086.0,68.05,5.0,6145
185,2016,Diesel,Manual,First,36,1997.0,120,7.0,15683
186,2018,Diesel,Automatic,First,29,2179.0,187.7,5.0,84823
187,2010,Diesel,Manual,First,47,1399.0,68,5.0,3955
188,2016,Diesel,Manual,First,59,1248.0,88.50,7.0,12930
189,2014,Diesel,Manual,First,60,1498.0,98.6,5.0,5324
190,2015,Petrol,Manual,First,47,1197.0,78.9,5.0,5400
191,2013,Diesel,Manual,First,60,1498.0,98.6,5.0,4943
192,2008,Diesel,Manual,First,41,1896.0,106,5.0,6845
193,2014,Diesel,Manual,First,46,1461.0,83.8,5.0,8138
194,2017,Diesel,Manual,Second,41,1493.0,100,7.0,9887
195,2016,Diesel,Manual,First,57,1248.0,88.5,5.0,13690
196,2016,Petrol,Manual,First,43,1197.0,81.83,5.0,9127
197,2009,Petrol,Manual,First,34,1390.0,85,5.0,4183
198,2010,Petrol,Manual,First,36,1193.0,64.1,5.0,2281
199,2015,Diesel,Automatic,First,36,1968.0,174.33,5.0,30272
200,2014,Petrol,Automatic,First,34,1798.0,177.5,5.0,15212
201,2014,Diesel,Manual,First,55,1364.0,67.06,5.0,4563
202,2014,Petrol,Automatic,First,34,1595.0,120.7,5.0,18193
203,2013,Diesel,Manual,First,64,1498.0,98.6,5.0,4943
204,2012,Diesel,Manual,Second,52,1582.0,126.32,5.0,7225
205,2014,Diesel,Manual,First,48,1461.0,83.8,5.0,9051
206,2015,Petrol,Manual,Second,35,1591.0,121.3,5.0,12397
207,2016,Petrol,Automatic,First,48,998.0,67,5.0,6419
208,2010,Petrol,Automatic,First,27,1796.0,186,5.0,15972
209,2012,Diesel,Automatic,First,27,2967.0,246.7,5.0,68454
210,2012,Petrol,Manual,Second,46,1086.0,68.05,5.0,4411
211,2017,Petrol,Automatic,First,33,1598.0,103.52,5.0,13538
212,2017,Petrol,Automatic,First,34,1798.0,177.46,5.0,39551
213,2018,Petrol,Manual,First,40,1197.0,81.86,5.0,12504
214,2014,Diesel,Manual,Second,60,1498.0,98.6,5.0,5324
215,2004,Petrol,Manual,Second,44,998.0,67.1,5.0,1901
216,2013,Diesel,Manual,First,49,1461.0,65,5.0,5628
217,2018,Diesel,Automatic,First,45,2143.0,167.62,5.0,59951
218,2013,Petrol,Manual,First,52,998.0,67.04,5.0,4031
219,2015,Diesel,Manual,Second,44,1461.0,108.5,5.0,13569
220,2017,Petrol,Automatic,First,39,1998.0,189.08,4.0,54261
221,2007,Diesel,Manual,Second,40,1396.0,53.5,5.0,1293
222,2016,Petrol,Manual,Second,43,1199.0,76.8,5.0,5050
223,2012,Diesel,Manual,First,51,1199.0,73.9,5.0,5476
224,2016,Diesel,Manual,First,53,1248.0,74,5.0,10344
225,2012,Diesel,Manual,First,47,1399.0,68.05,5.0,3803
226,2019,Diesel,Automatic,First,26,2755.0,171.5,7.0,29876
227,2011,Diesel,Automatic,Second,27,2199.0,194.3,7.0,10648
228,2011,Petrol,Manual,First,40,1497.0,117.3,5.0,5887
229,2018,Petrol,Manual,First,43,1197.0,81.83,5.0,9538
230,2015,Diesel,Automatic,First,45,2143.0,167.62,5.0,27564
231,2013,Diesel,Manual,First,59,936.0,57.6,5.0,4031
232,2015,Diesel,Manual,First,53,1396.0,88.73,5.0,10952
233,2015,Diesel,Manual,First,30,2494.0,100.6,7.0,21753
234,2013,Diesel,Manual,First,48,1248.0,88.76,7.0,10496
235,2014,Diesel,Manual,First,30,2494.0,102,7.0,16353
236,2016,Petrol,Manual,First,41,1497.0,117.3,5.0,12306
237,2014,Diesel,Automatic,First,40,1995.0,184,5.0,28142
238,2017,Diesel,Manual,First,56,1120.0,70,5.0,7225
239,2016,Diesel,Manual,First,66,1248.0,88.5,5.0,12854
240,2012,Diesel,Manual,First,48,1598.0,103.6,5.0,5324
241,2006,Diesel,Manual,First,30,1493.0,82,5.0,2738
242,2014,Diesel,Manual,Second,46,1498.0,103.6,5.0,5628
243,2017,Petrol,Manual,First,43,1199.0,88.7,5.0,10907
244,2010,Petrol,Manual,First,46,1086.0,68.05,5.0,2662
245,2018,Diesel,Automatic,First,38,1995.0,183,5.0,33451
246,2017,Diesel,Manual,First,32,2393.0,147.8,7.0,28370
247,2011,Petrol,Manual,Third,46,796.0,35,5.0,2814
248,2017,Petrol,Manual,Second,47,1197.0,81.80,5.0,9051
249,2014,Petrol,Manual,First,44,1197.0,82,5.0,5704
250,2012,Diesel,Manual,First,53,1248.0,74,5.0,5704
251,2008,Diesel,Manual,First,51,1582.0,126.2,5.0,3955
252,2010,Petrol,Manual,First,39,1197.0,80,5.0,4259
253,2017,Diesel,Automatic,First,27,2987.0,254.79,5.0,93235
254,2014,Diesel,Manual,Second,37,2148.0,170,5.0,27381
255,2014,Diesel,Manual,First,54,1248.0,73.94,5.0,6617
256,2016,Diesel,Manual,First,46,1582.0,126.2,5.0,20916
257,2010,Petrol,Manual,First,44,998.0,66.1,5.0,3042
258,2016,Diesel,Manual,First,46,1461.0,108.45,5.0,15212
259,2010,Diesel,Manual,First,41,1248.0,76,5.0,2510
260,2017,Diesel,Automatic,First,38,2993.0,258,5.0,69626
261,2010,Petrol,Manual,Second,47,1197.0,78.9,5.0,4943
262,2016,Diesel,Manual,First,30,2494.0,102,7.0,19471
263,2002,Petrol,Manual,Third,40,993.0,60,5.0,836
264,2018,Diesel,Manual,First,66,1248.0,74,5.0,10876
265,2013,Diesel,Manual,Second,28,2179.0,120,8.0,10648
266,2017,Diesel,Manual,First,53,1248.0,74,5.0,5704
267,2017,Petrol,Manual,First,44,999.0,123.24,5.0,12930
268,2012,Diesel,Manual,First,55,1248.0,74,5.0,6617
269,2016,Petrol,Manual,First,53,796.0,47.3,5.0,4959
270,2011,Petrol,Manual,First,39,1497.0,118,5.0,6404
271,2018,Diesel,Automatic,First,28,2967.0,241.4,7.0,107033
272,2009,Diesel,Automatic,Second,39,1896.0,105,5.0,4487
273,2012,Petrol,Manual,First,40,1591.0,121.3,5.0,6510
274,2009,Petrol,Automatic,First,39,1497.0,118,5.0,5430
275,2013,Diesel,Manual,First,51,1396.0,88.8,5.0,4730
276,2014,Petrol,Automatic,First,35,1396.0,98.6,5.0,9066
277,2011,Diesel,Manual,First,48,1598.0,103.6,5.0,7149
278,2014,Petrol,Manual,First,40,1497.0,117.3,5.0,10496
279,2018,Diesel,Manual,First,53,1248.0,74,5.0,7986
280,2015,Diesel,Automatic,First,43,1995.0,177,5.0,42594
281,2009,Petrol,Manual,First,44,1061.0,67,5.0,2053
282,2015,Petrol,Manual,First,42,1199.0,88.7,5.0,7377
283,2012,Diesel,Manual,First,35,1896.0,105,5.0,10192
284,2010,Petrol,Manual,First,47,1197.0,78.9,5.0,4715
285,2015,Diesel,Automatic,First,45,2143.0,170,5.0,28355
286,2012,Petrol,Manual,First,47,1197.0,78.9,5.0,4259
287,2016,Diesel,Manual,First,32,2393.0,147.8,7.0,30804
288,2015,Diesel,Automatic,First,41,1968.0,174.33,5.0,40738
289,2010,Diesel,Manual,Second,30,2494.0,100.6,7.0,12565
290,2015,Petrol,Manual,First,38,1198.0,73.9,5.0,5917
291,2011,Petrol,Manual,First,49,998.0,67.1,5.0,3194
292,2017,Petrol,Automatic,First,42,1497.0,117.3,5.0,19304
293,2013,Diesel,Manual,First,39,1405.0,70,5.0,3924
294,2014,Diesel,Automatic,First,41,1968.0,174.33,5.0,31595
295,2015,Diesel,Automatic,First,42,2143.0,136,5.0,30819
296,2014,Petrol,Automatic,First,54,998.0,67.04,5.0,6465
297,2017,Diesel,Automatic,First,42,2143.0,201.15,5.0,86709
298,2017,Diesel,Automatic,First,29,2179.0,187.7,5.0,66933
299,2011,Diesel,Manual,First,48,1598.0,103.6,5.0,5552
300,2012,Petrol,Manual,First,32,796.0,35,5.0,3118
301,2012,Petrol,Manual,First,43,1198.0,86.8,5.0,4761
302,2000,Diesel,Manual,Second,33,2956.0,83.1,7.0,2281
303,2012,Diesel,Manual,First,42,1248.0,75,5.0,4335
304,2012,Petrol,Manual,First,44,998.0,67.1,5.0,4031
305,2015,Diesel,Manual,First,37,2179.0,140,7.0,16124
306,2008,Diesel,Manual,Second,40,1396.0,70,5.0,1901
307,2018,Petrol,Manual,First,37,1373.0,93.7,7.0,12550
308,2011,Petrol,Automatic,First,27,2354.0,177.6,5.0,6769
309,2012,Diesel,Manual,First,45,1248.0,73.9,5.0,5628
310,2009,Diesel,Manual,First,41,1399.0,68,5.0,4259
311,2008,Petrol,Manual,First,41,1497.0,78,5.0,2738
312,2014,Diesel,Automatic,First,41,1968.0,174.33,5.0,33390
313,2011,Diesel,Automatic,First,22,2993.0,313,4.0,74539
314,2017,Diesel,Automatic,First,34,2967.0,245,7.0,95334
315,2008,CNG,Manual,First,61,998.0,67.1,5.0,2129
316,2012,Diesel,Manual,First,54,1396.0,90,5.0,8366
317,2009,Petrol,Automatic,Third,39,1197.0,78.9,5.0,4487
318,2016,Petrol,Automatic,First,44,1199.0,88.7,5.0,10435
319,2015,Diesel,Manual,First,59,1248.0,74,5.0,9355
320,2011,Petrol,Manual,Second,43,1197.0,82.85,5.0,5020
321,2011,Petrol,Manual,First,38,1198.0,73.9,5.0,3879
322,2009,Petrol,Manual,First,46,796.0,46.3,5.0,2281
323,2004,Petrol,Automatic,Second,26,1794.0,125,5.0,3803
324,2006,Petrol,Manual,Second,46,796.0,46.3,5.0,2129
325,2012,Diesel,Manual,First,49,1248.0,88.8,5.0,5172
326,2012,Petrol,Manual,First,46,796.0,46.3,5.0,3422
327,2013,Diesel,Automatic,First,45,1968.0,141,5.0,11409
328,2008,Petrol,Automatic,First,26,1794.0,125,5.0,4259
329,2016,Petrol,Manual,First,43,1197.0,81.83,5.0,11652
330,2016,Diesel,Manual,First,57,1248.0,88.5,5.0,10876
331,2010,Petrol,Manual,First,39,1497.0,118,5.0,5324
332,2014,Diesel,Manual,Second,42,1248.0,75,5.0,5324
333,2013,Diesel,Manual,First,60,1498.0,98.6,5.0,5248
334,2016,Petrol,Manual,First,49,814.0,55.2,5.0,5400
335,2015,Diesel,Automatic,Second,51,1995.0,190,5.0,39536
336,2012,Diesel,Manual,First,52,1582.0,126.32,5.0,7986
337,2013,Diesel,Manual,First,49,1248.0,88.8,5.0,4411
338,2005,Petrol,Automatic,First,33,1984.0,227,5.0,3118
339,2017,Petrol,Manual,First,56,998.0,67.1,5.0,5704
340,2014,Diesel,Manual,First,53,1498.0,89.84,5.0,10268
341,2011,Petrol,Manual,Second,42,995.0,62,5.0,1445
342,2017,Diesel,Automatic,First,45,1999.0,177,5.0,79103
343,2007,Petrol,Manual,Third,30,1997.0,141.1,5.0,5947
344,2019,Petrol,Automatic,First,34,1798.0,177.46,5.0,41529
345,2009,Petrol,Manual,First,47,1197.0,78.9,5.0,4107
346,2013,Diesel,Manual,First,53,1248.0,74,5.0,5324
347,2016,Petrol,Automatic,First,43,1197.0,83.14,5.0,9431
348,2011,Diesel,Manual,First,54,1461.0,63.1,5.0,4183
349,2015,Diesel,Manual,First,55,1248.0,74,5.0,4943
350,2012,Diesel,Manual,First,41,1399.0,67,5.0,4943
351,2003,Petrol,Manual,First,40,993.0,60,5.0,988
352,2017,Petrol,Manual,First,32,1998.0,192,5.0,53242
353,2014,Diesel,Manual,First,55,1364.0,67.05,5.0,4943
354,2018,Petrol,Manual,First,58,796.0,47.3,5.0,4411
355,2011,Petrol,Manual,Third,44,796.0,47,5.0,4411
356,2009,Diesel,Automatic,Second,25,2993.0,235,5.0,27001
357,2015,Petrol,Automatic,Second,26,2496.0,179.5,5.0,12550
358,2015,Petrol,Automatic,First,44,1197.0,82,5.0,8777
359,2017,Diesel,Manual,First,57,1248.0,88.5,5.0,14436
360,2008,Diesel,Automatic,Third,28,2967.0,241.4,7.0,19699
361,2015,Diesel,Automatic,First,42,2143.0,136,5.0,30424
362,2007,Petrol,Manual,Third,37,796.0,37,4.0,1521
363,2015,Diesel,Manual,Second,48,1461.0,83.8,5.0,10800
364,2017,Diesel,Manual,First,50,1364.0,87.2,5.0,25100
365,2014,Diesel,Manual,First,37,2148.0,170,5.0,39551
366,2010,Diesel,Manual,Second,49,1248.0,73.9,5.0,4867
367,2017,Petrol,Automatic,First,37,1497.0,117.3,7.0,14421
368,2015,Diesel,Manual,First,57,1120.0,71,5.0,6084
369,2014,Diesel,Automatic,First,33,2143.0,203,5.0,40312
370,2014,Petrol,Automatic,Second,34,1595.0,120.7,5.0,17904
371,2017,Diesel,Automatic,First,35,2143.0,204,5.0,56285
372,2016,Petrol,Manual,First,41,1497.0,117.3,5.0,13310
373,2011,Petrol,Manual,First,39,1497.0,118,5.0,5704
374,2010,Petrol,Manual,First,38,1599.0,103.2,5.0,3803
375,2017,Petrol,Automatic,First,31,1999.0,246.74,5.0,52482
376,2015,Petrol,Manual,First,42,1198.0,86.7,5.0,7073
377,2015,Petrol,Automatic,First,44,1598.0,122,4.0,48679
378,2017,Diesel,Automatic,First,31,2987.0,282,5.0,95547
379,2014,Petrol,Manual,First,49,814.0,55.2,5.0,4943
380,2014,Petrol,Manual,First,48,998.0,67.04,5.0,4715
381,2011,Diesel,Manual,First,49,1248.0,73.9,5.0,5947
382,2011,Diesel,Automatic,First,37,1995.0,181,5.0,16733
383,2014,Diesel,Manual,First,31,2179.0,138.03,5.0,5324
384,2014,Diesel,Automatic,First,47,1968.0,143,5.0,25100
385,2012,Diesel,Automatic,First,29,2179.0,187.7,5.0,45636
386,2010,Diesel,Automatic,Second,28,2987.0,224,7.0,42594
387,2018,Diesel,Automatic,First,31,2477.0,175.56,7.0,42594
388,2010,Petrol,Manual,First,46,796.0,46.3,5.0,1399
389,2013,Petrol,Manual,First,32,1061.0,64,5.0,4183
390,2017,Diesel,Automatic,First,29,2179.0,187.7,5.0,81887
391,2011,Petrol,Manual,Second,40,1591.0,121.3,5.0,7530
392,2013,Diesel,Automatic,First,39,2993.0,218,5.0,50960
393,2013,Diesel,Automatic,First,34,2993.0,270.9,5.0,42518
394,2010,Petrol,Automatic,First,32,1798.0,157.75,5.0,11028
395,2017,Diesel,Automatic,First,36,1968.0,174.33,5.0,39110
396,2014,Diesel,Automatic,First,29,2179.0,187.7,5.0,45134
397,2013,Diesel,Automatic,First,34,2143.0,170,5.0,28903
398,2017,Diesel,Manual,First,36,2179.0,120,7.0,19851
399,2015,Diesel,Automatic,First,51,1995.0,190,5.0,38791
400,2017,Petrol,Manual,First,36,1497.0,117.3,7.0,12930
401,2010,Diesel,Automatic,Second,37,2400.0,215,5.0,11028
402,2005,Petrol,Manual,First,31,1495.0,94,5.0,1216
403,2017,Petrol,Manual,First,40,1197.0,81.86,5.0,10496
404,2018,Petrol,Automatic,First,27,2996.0,367,5.0,107991
405,2015,Petrol,Manual,Second,49,814.0,55.2,5.0,3422
406,2018,Petrol,Manual,First,44,1197.0,81.86,5.0,8366
407,2013,Petrol,Manual,First,30,1493.0,100,5.0,6617
408,2010,Petrol,Manual,First,38,1198.0,73.9,5.0,3422
409,2016,Petrol,Automatic,First,35,1798.0,187.74,5.0,37269
410,2017,Petrol,Manual,First,35,1591.0,121.3,5.0,18300
411,2011,Petrol,Automatic,Second,27,1796.0,186,5.0,12930
412,2014,Petrol,Automatic,First,39,1998.0,189.08,4.0,43354
